id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t001,"Hello, I placed an order for a blender five days back, but the tracking information hasn't changed at all. Can you please provide an update on its whereabouts?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t002,"Hey, I ordered a blender about five days ago, and the tracking hasn’t shown any progress. What’s going on with my order?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t003,"Hi there, it’s been five days since I ordered my blender, and the tracking status is still the same. Could you let me know what's happening with it?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t004,I never received my order and I want my money back.,order_status,refund_request,The customer is requesting a refund because they did not receive their order.,False,baseline,v1,,
t005,"I still haven't gotten my order, and I demand a refund immediately.",order_status,refund_request,The customer is requesting a refund due to not receiving their order.,False,baseline,v1,,
t006,"Can someone please help me? My order hasn't arrived, and I'm looking for a full refund.",order_status,refund_request,The customer is requesting a full refund due to their order not arriving.,False,baseline,v1,,
t007,"I can't believe this! My order is missing, and I want my money back right away.",order_status,refund_request,The customer is requesting their money back due to a missing order.,False,baseline,v1,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t009,"I see that my order was marked as delivered last Tuesday, but it hasn't arrived at my place, my neighbor's, or even in the mailroom. What should I do next?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t010,"According to the tracking, my package was delivered last Tuesday, yet I can't find it anywhere—neither at my doorstep nor at my neighbor's nor in the mailroom. What happens now?",order_status,order_status,The customer is inquiring about the status of their package delivery.,True,baseline,v1,,
t011,"So my order says it was delivered last Tuesday, but surprise, surprise! I haven't seen it at my door, my neighbor's, or even in the mailroom. What gives?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the status of their order and the delay in shipping.,True,baseline,v1,,
t013,"I was promised 2-day shipping, but it has now been 9 days! This is ridiculous!",order_status,order_status,The customer is inquiring about the status of their order and the delay in shipping.,True,baseline,v1,,
t014,"I ordered my items expecting them to arrive in 2 days as your site said, but here I am 9 days later with no package. What is going on?",order_status,order_status,The customer is inquiring about the status of their order and its delayed delivery.,True,baseline,v1,,
t015,I thought I paid for 2-day shipping. It’s been 9 days already—what’s taking so long?,order_status,order_status,The customer is inquiring about the status and delay of their order.,True,baseline,v1,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t017,The tracking link I received in the email just keeps loading endlessly. My order number is 88421.,order_status,order_status,The customer is inquiring about the status of their order due to issues with the tracking link.,True,baseline,v1,,
t018,I'm having a bit of trouble with the tracking link; it just keeps spinning and won't load. This is for order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t019,The tracking URL in the email is stuck in a loop. Can you check on my order #88421?,order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,baseline,v1,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return an item and get their money back.,True,baseline,v1,,
t021,I want to return the unopened headphones I purchased last week and get a refund. This is so frustrating!,refund_request,refund_request,The customer wants to return an item and get a refund.,True,baseline,v1,,
t022,"Hello, I would like to initiate a return for the headphones I ordered last week. They are still in their original packaging, and I would appreciate a full refund. Thank you!",refund_request,refund_request,The customer wants to initiate a return and requests a full refund for the headphones.,True,baseline,v1,,
t023,I'm trying to return the headphones I bought last week; they're still sealed. Can I get my money back?,refund_request,refund_request,The customer is requesting a refund for a product they want to return.,True,baseline,v1,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t025,"I'm really frustrated right now! I sent back my order, number 2345, two weeks ago, and I've yet to see my refund hit my credit card. What’s the hold-up?",refund_request,refund_request,The customer is inquiring about the status of their refund for a returned order.,True,baseline,v1,,
t026,"Hi there, I hope you’re doing well. I wanted to inquire about my refund for the item I returned (order #9876) two weeks ago; unfortunately, it hasn’t appeared on my card yet. Could you please help me with this?",refund_request,refund_request,The customer is inquiring about a refund for a returned item.,True,baseline,v1,,
